index,date_time,mode,flight_id,hex_id,altitude,lat_plane,lng_plane,in_view,dt_tm,time,lat,lon,speed,alt,track,climb
0,20150618-133746,Updating,XXXXX,A34721,27950,34.80688,-84.91154,24.0,2015-06-18 13:37:46,2015-06-18T13:37:46.000Z,34.3793,-84.90703,0.01,226.8,66.6,0.0
1,20150618-133752,Updating,784     ,A1D4C3,36050,34.324220000000004,-85.04091,24.0,2015-06-18 13:37:52,2015-06-18T13:37:52.000Z,34.379301667,-84.90703,0.01,226.8,256.83,0.0
2,20150618-133847,Updating,XXXXX,A34721,26500,34.958859999999994,-85.11237,28.0,2015-06-18 13:38:47,2015-06-18T13:38:47.000Z,34.378901667,-84.907785,2.927,228.5,240.44,-0.1
3,20150618-133847,Updating,XXXXX,A399D4,27325,35.02758,-85.26049,28.0,2015-06-18 13:38:47,2015-06-18T13:38:47.000Z,34.378901667,-84.907785,2.927,228.5,240.44,-0.1
4,20150618-133853,Updating,XXXXX,AA7757,41000,33.78484,-83.94429000000001,28.0,2015-06-18 13:38:53,2015-06-18T13:38:53.000Z,34.378881667,-84.907828333,0.005,228.0,239.32,-0.1
5,20150618-133853,Updating,784     ,A1D4C3,36700,34.435590000000005,-85.13917,28.0,2015-06-18 13:38:53,2015-06-18T13:38:53.000Z,34.378881667,-84.907828333,0.005,228.0,239.32,-0.1
6,20150618-133912,Updating,UAL1096 ,AA7E2E,36000,34.83902,-84.9834,31.0,2015-06-18 13:39:12,2015-06-18T13:39:12.000Z,34.378631667,-84.907885,4.234,227.4,153.24,-0.1
7,20150618-133930,Updating,XXXXX,AB5F00,37000,34.140879999999996,-85.70468000000001,31.0,2015-06-18 13:39:30,2015-06-18T13:39:30.000Z,34.378015,-84.908356667,6.014,229.1,249.08,0.2
8,20150618-133952,Updating,XXXXX,A34721,25925,34.99672,-85.16281,33.0,2015-06-18 13:39:52,2015-06-18T13:39:52.000Z,34.377765,-84.909216667,2.279,232.0,249.68,0.0
9,20150618-133952,Updating,XXXXX,A399D4,27325,35.02758,-85.26049,33.0,2015-06-18 13:39:52,2015-06-18T13:39:52.000Z,34.377765,-84.909216667,2.279,232.0,249.68,0.0
10,20150618-133955,Updating,XXXXX,AA7757,41000,33.78484,-83.94429000000001,32.0,2015-06-18 13:39:55,2015-06-18T13:39:55.000Z,34.37775,-84.909275,1.5430000000000001,232.4,250.77,0.0
11,20150618-133955,Updating,784     ,A1D4C3,37050,34.52174,-85.21557,32.0,2015-06-18 13:39:55,2015-06-18T13:39:55.000Z,34.37775,-84.909275,1.5430000000000001,232.4,250.77,0.0
12,20150618-134016,Updating,UAL1096 ,AA7E2E,36000,34.7843,-85.07531999999999,32.0,2015-06-18 13:40:16,2015-06-18T13:40:16.000Z,34.377735,-84.909338333,0.0,233.1,250.38,0.0
13,20150618-134035,Updating,XXXXX,AB5F00,37000,34.140879999999996,-85.70468000000001,33.0,2015-06-18 13:40:35,2015-06-18T13:40:35.000Z,34.37765,-84.909635,4.861,233.6,250.33,0.0
14,20150618-134058,Updating,XXXXX,AA7757,41000,33.94012,-83.69951,34.0,2015-06-18 13:40:58,2015-06-18T13:40:58.000Z,34.377181667,-84.911395,8.324,236.4,254.7,-0.2
15,20150618-134058,Updating,XXXXX,A34721,25925,34.99672,-85.16281,34.0,2015-06-18 13:40:58,2015-06-18T13:40:58.000Z,34.377181667,-84.911395,8.324,236.4,254.7,-0.2
16,20150618-134058,Updating,XXXXX,A399D4,27325,35.02758,-85.26049,34.0,2015-06-18 13:40:58,2015-06-18T13:40:58.000Z,34.377181667,-84.911395,8.324,236.4,254.7,-0.2
17,20150618-134058,Updating,784     ,A1D4C3,37050,34.60707,-85.29129,34.0,2015-06-18 13:40:58,2015-06-18T13:40:58.000Z,34.377181667,-84.911395,8.324,236.4,254.7,-0.2
18,20150618-134117,Updating,UAL1096 ,AA7E2E,36000,34.738820000000004,-85.15183,35.0,2015-06-18 13:41:17,2015-06-18T13:41:17.000Z,34.377088333,-84.91187,0.005,235.2,259.93,0.0
19,20150618-134203,Updating,XXXXX,AA7757,41000,33.94012,-83.69951,35.0,2015-06-18 13:42:03,2015-06-18T13:42:03.000Z,34.375145,-84.91013,15.958,235.3,123.7,0.2
20,20150618-134203,Updating,XXXXX,A399D4,27325,35.02758,-85.26049,35.0,2015-06-18 13:42:03,2015-06-18T13:42:03.000Z,34.375145,-84.91013,15.958,235.3,123.7,0.2
21,20150618-134203,Updating,784     ,A1D4C3,37050,34.74929,-85.41801,35.0,2015-06-18 13:42:03,2015-06-18T13:42:03.000Z,34.375145,-84.91013,15.958,235.3,123.7,0.2
22,20150618-134220,Updating,UAL1096 ,AA7E2E,36000,34.6162,-85.35713,33.0,2015-06-18 13:42:20,2015-06-18T13:42:20.000Z,34.37314,-84.90775,20.567,236.4,139.46,-0.1
23,20150618-134305,Updating,XXXXX,AA7757,41000,33.94012,-83.69951,31.0,2015-06-18 13:43:05,2015-06-18T13:43:05.000Z,34.365613333,-84.900081667,25.624,240.8,139.97,-0.1
24,20150618-134305,Updating,XXXXX,A399D4,27325,35.02758,-85.26049,31.0,2015-06-18 13:43:05,2015-06-18T13:43:05.000Z,34.365613333,-84.900081667,25.624,240.8,139.97,-0.1
25,20150618-134305,Updating,784     ,A1D4C3,36325,34.84682,-85.50522,31.0,2015-06-18 13:43:05,2015-06-18T13:43:05.000Z,34.365613333,-84.900081667,25.624,240.8,139.97,-0.1
26,20150618-134326,Updating,UAL1096 ,AA7E2E,36000,34.6162,-85.35713,29.0,2015-06-18 13:43:26,2015-06-18T13:43:26.000Z,34.361695,-84.895935,28.243,234.1,132.85,0.7000000000000001
27,20150618-134409,Updating,784     ,A1D4C3,36025,34.92814,-85.57817,27.0,2015-06-18 13:44:09,2015-06-18T13:44:09.000Z,34.355068333,-84.886428333,26.211,273.6,139.06,1.0
28,20150618-134439,Updating,UAL1096 ,AA7E2E,36000,34.6162,-85.35713,22.0,2015-06-18 13:44:39,2015-06-18T13:44:39.000Z,34.349388333,-84.88049,27.718,296.0,139.15,0.6
29,20150618-134513,Updating,784     ,A1D4C3,36025,34.92814,-85.57817,16.0,2015-06-18 13:45:13,2015-06-18T13:45:13.000Z,34.342508333,-84.873386667,31.643,292.8,138.82,-0.7000000000000001
30,20150618-134541,Updating,UAL1096 ,AA7E2E,36000,34.6162,-85.35713,15.0,2015-06-18 13:45:41,2015-06-18T13:45:41.000Z,34.33677,-84.866675,31.139,282.8,133.45,0.2
31,20150618-134620,Updating,784     ,A1D4C3,36025,34.92814,-85.57817,11.0,2015-06-18 13:46:20,2015-06-18T13:46:20.000Z,34.329166667,-84.85715,30.949,280.2,137.68,-0.5
32,20150618-134706,Updating,UAL1096 ,AA7E2E,36000,34.6162,-85.35713,8.0,2015-06-18 13:47:06,2015-06-18T13:47:06.000Z,34.319278333,-84.847053333,31.618,277.1,139.69,-0.7000000000000001
33,20150618-135016,Updating,XXXXX,AA7052,12950,33.994859999999996,-84.90337,11.0,2015-06-18 13:50:16,2015-06-18T13:50:16.000Z,34.277761667,-84.815655,27.435,250.5,143.69,0.5
34,20150618-135136,Updating,XXXXX,71BE11,17650,34.288740000000004,-85.23036,20.0,2015-06-18 13:51:36,2015-06-18T13:51:36.000Z,34.26147,-84.801131667,29.426,236.5,143.5,-0.2
35,20150618-135136,Updating,CUB182  ,503DA2,35975,34.014179999999996,-84.34633000000001,20.0,2015-06-18 13:51:36,2015-06-18T13:51:36.000Z,34.26147,-84.801131667,29.426,236.5,143.5,-0.2
36,20150618-135136,Updating,2770    ,AA7052,12500,33.96304,-84.86255,20.0,2015-06-18 13:51:36,2015-06-18T13:51:36.000Z,34.26147,-84.801131667,29.426,236.5,143.5,-0.2
37,20150618-135246,Updating,XXXXX,71BE11,17650,34.288740000000004,-85.23036,21.0,2015-06-18 13:52:46,2015-06-18T13:52:46.000Z,34.250096667,-84.785165,28.109,233.6,126.49,-0.3
38,20150618-135246,Updating,CUB182  ,503DA2,36000,34.09211,-84.32814,21.0,2015-06-18 13:52:46,2015-06-18T13:52:46.000Z,34.250096667,-84.785165,28.109,233.6,126.49,-0.3
39,20150618-135246,Updating,2770    ,AA7052,12500,33.96304,-84.86255,21.0,2015-06-18 13:52:46,2015-06-18T13:52:46.000Z,34.250096667,-84.785165,28.109,233.6,126.49,-0.3
40,20150618-135433,Updating,CUB182  ,503DA2,36000,34.24555,-84.29209,14.0,2015-06-18 13:54:33,2015-06-18T13:54:33.000Z,34.235508333,-84.758778333,29.894,255.9,134.92,0.6
